,Date,Time,Town / Village,County,Occupation of reporter (where known),Brief Description of sighting,6
54,21-Aug-02,11:00,Fortrose,Highlands,,Small torpedo shaped object with a white or silver triangular reflector to one side.,
55,22-Aug-02,22:25,Heathfield,East Sussex,,Aerial lights seen in the sky.,
56,22-Aug-02,21:30,Shropham,Norfolk,,Aerial lights seen in the sky.,
57,22-Aug-02,22:25,Heathfield,East Sussex,,Anomalous aerial lights were seen.,
0,26-Aug-02,00:00,Dundee,Tayside,,Strange red and white lights seen through curtains. Then there was a solid red beam outside the window for about five to ten seconds.,
1,29-Aug-02,00:30,Leicester,Leicestershire,,"Looked like a shooting star. Had four lights on each side, like a black shadow.",
2,01-Sep-02,17:00,Leicester,Leicestershire,,"One object, that was golf ball size. Then another three golf ball size objects (white), were seen moving in an L formation.",
3,05-Sep-02,,Wisborough Green,West Sussex,,Interesting lights on an equilateral triangle.,
4,10-Sep-02,23:23,Hamilton,Strathclyde,,"There were three objects, each of which had two bright orange lights, in a triangular formation. Seemed to swap places with each other!",
5,10-Sep-02,19:45,Tibbermore,Tayside,,"One small, bright, oval shaped object. The object seemed to elongate as it got closer.",
6,11-Sep-02,10:40,Kirkcaldy,Fife,,"There were three hanging silver rods. They were drifting slowly, then became bright silver and then faded away.",
7,18-Sep-02,19:20,Halstead,Essex,,Display of three lights in a sort of a star shape. The lights were in formation - circling.,
8,19-Sep-02,21:20,,,,"A circle of twenty lights, were seen outside the witnesses house for about twenty minutes.",
9,19-Sep-02,22:21,Bradford,West Yorkshire,,"Two circles, one inside the other. Were 50/50 feet in diameter. The brightness varied as they passed through the clouds.",
10,23-Sep-02,17:40,Huddersfield,West Yorkshire,,"One silver cigar shaped object, that split into six small silver balls. They were travelling erratically, but remained as a group.",
11,23-Sep-02,01:00,St John's Wood,London,,The object was a triangle shape with red flashing/alternating lights that went round the inside edges of the object.,
12,30-Sep-02,22:00,Exeter,Devon,,Object had two neon blue lights at the rear.,
13,30-Sep-02,23:30,Cannock,Staffordshire,,"The object looked like it was three times bigger than the size of a jumbo jet, like ""a gigantic flying piece of street"".",
14,03-Oct-02,20:20,Exeter,Devon,,One ball of red glowing light.,
15,04-Oct-02,21:30,Everett,USA,,"Five objects were circling above the head of the witness, at about fifty ft. Heard a low pitch noise. There was a blue and white type nucleus centre.",
16,04-Oct-02,20:30,Southend,Essex,,"One white, very small object, very high up in the sky.",
17,17-Oct-02,02:54,Hull,East Yorkshire,Two Police Officers,"Appeared as the size of a 'normal' bright star, but of different colours - blue, green, red and white. The object moved fast.",
18,23-Oct-02,07:04,Woodbridge,Suffolk,,Large silver triangle which then changed shape. Was clouded in a pink and green haze.,
19,25-Oct-02,01:30,Liverpool,Merseyside,,"Object looked like an upturned saucer, with a dome on top. It had amber lights, and the dome had a light on top. Was hovering.",
20,Nov-02,14:30,Walcott,Lincolnshire,,"Dark, black torpedo shaped object. White plume of smoke.",
21,02-Nov-02,23:00,Gors-goch,Dyfed,,Round yellowish light followed by a green light. Went up vertically.,
22,02-Nov-02,22:58,Llanerchymedd,Gwynedd,,"One light, the size of a football moving slowly at about 2-3000ft.",
23,07-Nov-02,06:30,Wolverhampton,West Midlands,,"Two sets of lights, with an aircraft in the middle of them.",
24,09-Nov-02,22:00,Lechlade,Gloucestershire,,Series of lights moving in an arc. They were pink and spaced out.,
25,11-Nov-02,23:00,Nottingham,Nottinghamshire,,"Eight objects joined into a circle, then separated. Moved independently, then joined together again in a circle.",
26,14-Nov-02,22:12,Saddleworth Moor,Gtr Manchester,,"Small football size white light, with a blue tail.",
27,15-Nov-02,12:15,Eyam,Derbyshire,,"Large flying object, witness had never seen anything like it before. No lights whatsoever.",
28,15-Nov-02,21:30,Liverpool,Merseyside,,Series of eight to ten lights all tracing a pattern in the sky.,
29,24-Nov-02,20:00,Bohuntine,Highlands,,"Round orange shaped object, with pale green lights shining out in all directions. (A possible halo).",
30,28-Nov-02,14:26,Cardiff Docks,South Glamorgan,,Two sightings over Cardiff docks. The objects were of different colours and were moving up and down.,
31,09-Dec-02,17:30,Bishop's Stortford,Hertfordshire,,"Small round, dull light seen.",
32,10-Dec-02,18:27,Stoke-on-Trent,Staffordshire,,Saw an orange disc shape.,
33,16-Dec-02,02:35,"M62, Near Rothwell",West Yorkshire,,"A number of objects - quite large, long, thin and shaped like cuttlefish. Joined to become a rectangular, vertical light, skimming along.",
34,18-Dec-02,16:40,Coningsby,,,"Bright oval shape cluster of lights, that grew brighter than the moon.",
35,19-Dec-02,06:30,Chaldon,Surrey,,"Very bright object, with an orange/yellow triangle behind it.",
36,19-Dec-02,06:30,Notting Hill,London,,"Very large object, falling like a shooting star. Flames were coming out of the back. (Could have been a satellite re-entering).",
37,19-Dec-02,06:30,Brighton,East Sussex,,"Large cylindrical object, white flowing light from the front and flames coming from the rear. Some noise, not loud.",
38,19-Dec-02,06:30,Newton Abbott,Devon,,A strange object/light. No sound.,
39,24-Dec-02,10:39,Aylesbury,Buckinghamshire,,"Orange object, with a lighter coloured trail, about ten times the length of the head.",
40,28-Dec-02,20:10,"On A31, nr Hogsback",Surrey,,Four pairs of lights.,
41,29-Dec-02,00:00,7 miles past Lancaster,Lancashire,,On M6. Bright green light about the size of a traffic light arched over and came down to the ground and broke up.,
42,,,Solihull,West Midlands,,Saw two bright lights. (Seen in 2002).,
43,,,Welwyn Garden City,Hertfordshire,,"One disc shaped object, that was tangerine coloured. Zig-zagged for a while and then departed after fifteen seconds.",
44,,,Television Studio,,,"A black tube appeared in the studio, two doors opened and then closed. It rose to the ceiling and then disappeared. Moved around.",
