,Date,Time,Town / Village,County,Occupation of reporter (where known),Brief Description of sighting
13,24-Sep-04,06:30,Newport,Dyfed/South Wales,,"One object that looked like a disc, with a tail and was shiny."
14,24-Sep-04,,Swindon,Wiltshire,,Saw a big orange disc going from East to West. Said the object was totally silent and moving quite slowly.
15,30-Sep-04,21:10,Porchester,Hampshire,,Just mentioned a sighting.
16,10-Oct-04,10:15,Strath Bongo/Glasgow,Strathclyde,,"The object looked like a wide test tube shape, that moved from the South East."
17,10-Oct-04,22:15,Colchester,Essex,,"Bright orange/red colour object, rapidly and randomly changing direction, from East to West."
18,11-Oct-04,02:35,Preston,Lancashire,,The object was a round sphere like the moon and it had green and red flashing lights and was very noisy.
19,12-Oct-04,20:07,Dumfries,Dumfries & Galloway,,Strange lights over the town.
20,18-Oct-04,,Wimbledon,London,,A few objects.
21,06-Nov-04,21:25,Driffield,East Yorkshire,,The object had three to four different colour lights.
22,09-Nov-04,,Warmington,Northants,,"The object was very bright like the sun, and it looked like the size of a space hopper! Had flames coming off of it, so it could have been a meteorite."
23,11-Nov-04,14:15,Ilford,Essex,,The object was the size of a round beach ball and black. Looked disc shaped when it became stationary in the sky. Had no wings.
24,19-Nov-04,08:02,Douglas,Isle of Man,,"The object was a silver disc, with solar panels, but turned out to be an ATR 42 - twin propeller, Euromanx aeroplane."
25,26-Nov-04,21:00,West Kilbride,Ayrshire,,"Witnessed at least 25 yellow spheres, flying in groups of five, flying North over West Kilbride."
26,29-Nov-04,17:15,Wellingborough,Northants,,A group of lights were seen and then a buzzing noise was heard.
27,10-Dec-04,17:25,Broxburn/Edinburgh,Lothian,,"Ball of fire, with a tail five to seven times the diameter of the ball. Bright orange with a weaker orange tail. Meteorite?"
28,15-Dec-04,08:30,Lisburn/Belfast,County Antrim,,Three bright lights moving in the sky.
29,27-Dec-04,17:15,Wellingborough,Northants,,"A 'UFO' was seen, and then it changed into a bright light."
30,,,Leicester,Leicestershire,,"Three to four discs, that looked oval shape when the discs moved to the side. Moved in a triangular formation across the sky."
31,,,Letchworth,Bedfordshire,,"Two objects flying around the sky for about two hours, and that they were going quite slow. (Seen in December '04)."
